item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8
4.0,1.0,2.0,4.0,7.0,4.0,5.0,3.0
15.0,7.0,11.0,8.0,11.0,8.0,4.0,3.0
2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0
1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
1.0,1.0,1.0,5.0,1.0,1.0,7.0,2.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,8.0,1.0,6.0,1.0,3.0,1.0,1.0
27.0,1.0,10.0,6.0,13.0,5.0,28.0,3.0
2.0,2.0,2.0,5.0,8.0,6.0,2.0,3.0
1.0,1.0,1.0,6.0,3.0,4.0,2.0,2.0
3.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0
1.0,9.0,3.0,2.0,1.0,1.0,1.0,3.0
6.0,2.0,1.0,3.0,5.0,4.0,1.0,1.0
3.0,2.0,1.0,5.0,3.0,12.0,1.0,3.0
3.0,2.0,13.0,1.0,2.0,1.0,23.0,6.0
2.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0
6.0,2.0,1.0,1.0,7.0,1.0,2.0,1.0
1.0,3.0,6.0,1.0,7.0,4.0,3.0,6.0
6.0,1.0,1.0,5.0,5.0,2.0,3.0,1.0
1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0
6.0,1.0,1.0,4.0,6.0,5.0,3.0,3.0
19.0,3.0,2.0,7.0,3.0,2.0,12.0,2.0
3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
6.0,4.0,2.0,2.0,6.0,2.0,1.0,2.0
26.0,4.0,17.0,9.0,6.0,5.0,22.0,4.0
18.0,9.0,7.0,1.0,4.0,3.0,1.0,2.0
3.0,5.0,7.0,2.0,4.0,4.0,2.0,3.0
2.0,2.0,1.0,4.0,6.0,4.0,3.0,2.0
2.0,7.0,3.0,5.0,1.0,10.0,1.0,8.0
1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0
5.0,5.0,6.0,13.0,1.0,6.0,12.0,6.0
5.0,1.0,5.0,4.0,7.0,4.0,6.0,3.0
9.0,2.0,2.0,1.0,6.0,1.0,6.0,1.0
1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
3.0,4.0,3.0,3.0,3.0,6.0,1.0,4.0
3.0,4.0,8.0,2.0,8.0,5.0,1.0,2.0
1.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0
1.0,1.0,12.0,1.0,6.0,2.0,5.0,4.0
1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0
4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0
1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0
2.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0
5.0,3.0,8.0,1.0,5.0,1.0,4.0,2.0
1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,8.0,6.0,2.0,1.0,2.0,2.0,5.0
2.0,2.0,4.0,1.0,5.0,2.0,3.0,3.0
1.0,3.0,7.0,1.0,1.0,2.0,1.0,3.0
1.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0
10.0,1.0,1.0,3.0,14.0,4.0,2.0,1.0
2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0
1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0
9.0,7.0,3.0,7.0,4.0,7.0,2.0,2.0
1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,2.0,13.0,7.0,2.0,2.0
5.0,4.0,24.0,1.0,6.0,1.0,19.0,4.0
2.0,4.0,4.0,1.0,6.0,4.0,1.0,3.0
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
5.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0
1.0,1.0,6.0,2.0,2.0,5.0,5.0,5.0
4.0,3.0,7.0,19.0,2.0,11.0,9.0,6.0
20.0,4.0,3.0,4.0,5.0,1.0,4.0,1.0
2.0,1.0,4.0,5.0,2.0,1.0,33.0,3.0
14.0,6.0,3.0,4.0,9.0,4.0,2.0,2.0
6.0,3.0,7.0,2.0,6.0,3.0,4.0,2.0
8.0,4.0,9.0,6.0,17.0,24.0,3.0,8.0
9.0,7.0,10.0,3.0,3.0,3.0,7.0,3.0
1.0,3.0,5.0,1.0,4.0,2.0,2.0,3.0
1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
3.0,4.0,6.0,8.0,2.0,12.0,2.0,12.0
11.0,6.0,29.0,20.0,5.0,7.0,23.0,14.0
26.0,2.0,18.0,10.0,40.0,7.0,14.0,2.0
3.0,9.0,16.0,1.0,2.0,2.0,1.0,3.0
1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0
1.0,1.0,1.0,1.0,5.0,8.0,1.0,2.0
4.0,3.0,6.0,3.0,1.0,2.0,6.0,3.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0
23.0,7.0,4.0,1.0,19.0,1.0,4.0,1.0
1.0,1.0,2.0,1.0,2.0,1.0,8.0,2.0
3.0,2.0,6.0,6.0,4.0,6.0,6.0,6.0
3.0,7.0,5.0,2.0,3.0,6.0,1.0,4.0
11.0,4.0,4.0,36.0,2.0,21.0,10.0,8.0
1.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0
2.0,1.0,1.0,6.0,5.0,3.0,5.0,1.0
1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
6.0,5.0,12.0,1.0,3.0,2.0,4.0,3.0
3.0,6.0,4.0,15.0,1.0,6.0,2.0,3.0
1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0
4.0,5.0,3.0,5.0,1.0,4.0,5.0,3.0
8.0,2.0,8.0,7.0,2.0,3.0,9.0,2.0
5.0,4.0,12.0,1.0,10.0,3.0,2.0,2.0
3.0,1.0,2.0,5.0,11.0,4.0,6.0,2.0
1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0
16.0,6.0,8.0,3.0,5.0,2.0,3.0,1.0
5.0,6.0,74.0,1.0,12.0,7.0,6.0,4.0
1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0
52.0,3.0,2.0,10.0,6.0,1.0,10.0,1.0
1.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0
5.0,1.0,1.0,2.0,8.0,1.0,3.0,1.0
1.0,1.0,1.0,2.0,8.0,11.0,1.0,3.0
1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0
13.0,4.0,16.0,11.0,6.0,7.0,30.0,5.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
6.0,2.0,1.0,8.0,6.0,6.0,2.0,4.0
1.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0
5.0,6.0,1.0,3.0,3.0,2.0,1.0,1.0
1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
1.0,2.0,18.0,2.0,1.0,5.0,6.0,6.0
9.0,12.0,3.0,1.0,4.0,1.0,1.0,1.0
3.0,1.0,1.0,14.0,6.0,5.0,7.0,2.0
1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0
1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,2.0,2.0,3.0,8.0,3.0,3.0,2.0
1.0,1.0,1.0,7.0,5.0,3.0,1.0,1.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
1.0,5.0,4.0,1.0,4.0,2.0,1.0,3.0
15.0,1.0,3.0,21.0,4.0,5.0,53.0,6.0
8.0,2.0,2.0,6.0,3.0,5.0,1.0,1.0
22.0,3.0,3.0,33.0,35.0,23.0,3.0,3.0
1.0,1.0,1.0,6.0,1.0,4.0,1.0,4.0
11.0,6.0,5.0,6.0,10.0,6.0,4.0,2.0
1.0,1.0,12.0,1.0,4.0,4.0,9.0,6.0
6.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0
9.0,2.0,1.0,18.0,8.0,4.0,7.0,2.0
7.0,1.0,4.0,21.0,4.0,7.0,24.0,5.0
1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0
5.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0
18.0,9.0,20.0,1.0,1.0,1.0,7.0,2.0
1.0,1.0,1.0,3.0,4.0,5.0,1.0,2.0
16.0,3.0,1.0,3.0,6.0,1.0,1.0,1.0
1.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0
1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0
2.0,2.0,2.0,9.0,3.0,11.0,3.0,4.0
12.0,6.0,9.0,8.0,2.0,7.0,7.0,7.0
51.0,3.0,10.0,24.0,19.0,15.0,9.0,2.0
6.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0
6.0,1.0,1.0,21.0,16.0,20.0,11.0,4.0
11.0,8.0,2.0,5.0,1.0,2.0,3.0,2.0
1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0
1.0,3.0,3.0,1.0,2.0,5.0,1.0,4.0
1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0
1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0
3.0,6.0,2.0,1.0,7.0,2.0,1.0,1.0
11.0,6.0,4.0,3.0,15.0,3.0,2.0,1.0
6.0,2.0,4.0,2.0,5.0,2.0,4.0,3.0
2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
3.0,2.0,1.0,1.0,10.0,2.0,1.0,1.0
14.0,3.0,4.0,3.0,11.0,5.0,2.0,2.0
2.0,3.0,1.0,6.0,3.0,4.0,1.0,1.0
5.0,1.0,9.0,10.0,23.0,8.0,12.0,4.0
6.0,1.0,1.0,16.0,16.0,12.0,5.0,4.0
3.0,3.0,13.0,2.0,6.0,5.0,2.0,3.0
2.0,5.0,3.0,1.0,8.0,2.0,1.0,1.0
7.0,1.0,2.0,2.0,6.0,1.0,20.0,1.0
4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,3.0,5.0,4.0,3.0,3.0,8.0,2.0
1.0,1.0,1.0,5.0,6.0,5.0,9.0,7.0
2.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0
7.0,1.0,10.0,11.0,22.0,7.0,25.0,3.0
3.0,4.0,3.0,15.0,2.0,6.0,5.0,6.0
15.0,3.0,5.0,11.0,11.0,3.0,5.0,1.0
1.0,1.0,1.0,4.0,2.0,6.0,2.0,3.0
5.0,2.0,33.0,13.0,10.0,21.0,13.0,12.0
25.0,5.0,1.0,9.0,5.0,2.0,4.0,1.0
1.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,6.0,2.0,8.0,6.0,5.0,6.0
2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0
58.0,5.0,28.0,16.0,6.0,4.0,35.0,4.0
2.0,3.0,9.0,1.0,2.0,1.0,3.0,2.0
4.0,2.0,11.0,14.0,3.0,7.0,18.0,4.0
1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0
8.0,3.0,1.0,7.0,3.0,2.0,3.0,2.0
1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0
7.0,2.0,1.0,2.0,6.0,3.0,1.0,1.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0
1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
1.0,3.0,2.0,4.0,2.0,7.0,2.0,6.0
9.0,7.0,5.0,9.0,2.0,3.0,5.0,3.0
1.0,1.0,1.0,8.0,2.0,4.0,4.0,3.0
1.0,2.0,5.0,1.0,2.0,2.0,2.0,3.0
2.0,5.0,21.0,2.0,4.0,4.0,5.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
2.0,2.0,11.0,3.0,3.0,4.0,8.0,4.0
1.0,1.0,3.0,1.0,5.0,1.0,4.0,3.0
2.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0
46.0,9.0,36.0,15.0,5.0,8.0,21.0,9.0
1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
7.0,2.0,5.0,1.0,3.0,1.0,10.0,2.0
6.0,1.0,2.0,5.0,8.0,4.0,4.0,2.0
7.0,2.0,8.0,3.0,8.0,3.0,6.0,3.0
1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0
1.0,1.0,4.0,1.0,6.0,7.0,2.0,7.0
16.0,8.0,13.0,63.0,11.0,31.0,12.0,17.0
1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0
1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0
2.0,1.0,4.0,22.0,2.0,13.0,24.0,25.0
29.0,12.0,5.0,2.0,2.0,1.0,3.0,1.0
1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0
5.0,2.0,2.0,1.0,6.0,1.0,2.0,1.0
3.0,6.0,10.0,1.0,10.0,3.0,1.0,3.0
6.0,2.0,14.0,4.0,11.0,4.0,23.0,6.0
3.0,2.0,5.0,1.0,6.0,2.0,1.0,1.0
17.0,2.0,2.0,4.0,11.0,4.0,2.0,1.0
2.0,10.0,32.0,2.0,1.0,3.0,3.0,6.0
9.0,4.0,5.0,6.0,6.0,3.0,4.0,3.0
5.0,5.0,4.0,29.0,2.0,13.0,6.0,8.0
3.0,3.0,1.0,8.0,2.0,5.0,1.0,1.0
2.0,1.0,2.0,7.0,2.0,2.0,8.0,3.0
25.0,3.0,3.0,16.0,6.0,5.0,6.0,2.0
6.0,1.0,2.0,1.0,14.0,1.0,1.0,1.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0
1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
3.0,8.0,3.0,1.0,1.0,1.0,2.0,1.0
2.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0
2.0,2.0,3.0,3.0,6.0,7.0,2.0,3.0
1.0,1.0,1.0,3.0,1.0,2.0,3.0,5.0
1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
1.0,1.0,3.0,4.0,5.0,14.0,2.0,5.0
7.0,2.0,15.0,10.0,5.0,16.0,6.0,7.0
16.0,5.0,2.0,6.0,3.0,3.0,3.0,1.0
1.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0
13.0,4.0,32.0,7.0,7.0,22.0,7.0,7.0
8.0,3.0,4.0,6.0,5.0,3.0,5.0,3.0
6.0,3.0,19.0,2.0,12.0,7.0,4.0,4.0
1.0,1.0,2.0,6.0,2.0,9.0,7.0,11.0
8.0,1.0,2.0,46.0,8.0,12.0,5.0,2.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0
2.0,1.0,1.0,6.0,2.0,1.0,9.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
4.0,3.0,11.0,2.0,4.0,2.0,7.0,5.0
1.0,3.0,1.0,5.0,1.0,2.0,6.0,5.0
7.0,4.0,11.0,12.0,1.0,7.0,12.0,9.0
1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,4.0,1.0,3.0,5.0,1.0,4.0
2.0,3.0,19.0,1.0,2.0,2.0,4.0,3.0
33.0,2.0,11.0,8.0,19.0,10.0,12.0,3.0
1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
20.0,5.0,5.0,3.0,7.0,2.0,3.0,1.0
1.0,2.0,3.0,2.0,1.0,1.0,10.0,4.0
1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0
1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0
3.0,1.0,3.0,11.0,3.0,8.0,9.0,8.0
1.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0
4.0,1.0,12.0,5.0,6.0,7.0,15.0,6.0
4.0,2.0,2.0,10.0,9.0,5.0,4.0,4.0
3.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0
8.0,2.0,11.0,19.0,7.0,8.0,14.0,6.0
1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0
1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0
1.0,1.0,1.0,4.0,3.0,5.0,2.0,4.0
1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
17.0,4.0,10.0,8.0,4.0,4.0,13.0,6.0
10.0,3.0,10.0,7.0,4.0,2.0,21.0,4.0
8.0,5.0,2.0,6.0,1.0,5.0,2.0,2.0
13.0,2.0,2.0,11.0,10.0,10.0,4.0,3.0
2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0
